Time,Label,ProcessScore,Wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20260630-00:00:00,White,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
20260630-10:01:00,20260630_143543_avg,80.4751,0,393.07,345.9371,339.7963,341.6098,332.6403,331.0255,336.868,327.1311,322.3772,315.6696,314.0313,318.8888,312.9843,322.2589,314.0153,321.8893,335.2408,315.3985,322.1143,312.5654,317.2306,311.9455,311.3486,316.2403,319.282,322.9351,324.9215,280.7706,258.6739,257.4807,265.102,265.0052,259.617,263.5693,253.4142,269.1021,267.1939,282.7408,275.5982,280.068,294.7814,302.7224,303.785,291.8497,312.0201,321.632,317.6427,308.9408,310.558,323.5919,337.9757,303.3828,295.6485,305.8411,289.1105,290.2186,299.4718,286.8773,292.7533,277.2647,272.3711,280.4701,260.6298,271.7635,270.7318,257.4579,256.2373,274.3063,263.6675,260.9402,260.2184,265.9789,263.004,262.5695,263.8526,269.9785,278.7457,268.2249,253.2376,269.1532,251.746,249.9753,242.0059,245.7209,250.4486,250.7939,243.6997,244.6214,240.0586,241.5734,236.8581,236.9466,230.6165,231.902,238.5911,231.7703,231.0001,231.3916,226.4026,230.71
20260630-10:02:00,20260630_144638_avg,91.5299,0,436.975,389.1332,349.4446,350.5225,354.7534,365.2905,369.2622,366.6685,373.7818,385.7485,383.1994,377.747,386.7295,394.5444,396.5205,392.1438,375.0613,331.8163,262.4088,238.8981,238.3357,237.0379,235.593,240.0995,242.5324,234.5965,228.3556,225.5045,226.5123,231.3788,235.0319,238.0783,239.1065,239.731,243.4335,245.8368,241.7437,240.1581,243.5874,251.6405,264.3174,253.8117,231.7148,240.8679,256.271,255.8646,254.7319,249.9674,245.0543,239.8441,239.9221,245.2883,247.1708,247.3115,249.8214,252.805,249.6026,247.2933,249.4489,249.4176,245.0125,243.9151,246.1253,244.7533,241.5902,240.8353,240.562,238.8045,237.2385,236.6292,236.2854,236.4725,234.2424,229.5951,233.2795,241.1296,248.2244,255.168,249.2629,243.6612,239.5763,236.4521,235.2494,233.7417,231.9292,231.2003,231.0132,232.277,233.831,229.3086,225.8511,227.7176,229.0089,229.1496,228.4468,226.9005,226.8795,227.6214,225.135,222.003
20260630-11:01:00,20260630_145733_avg,65.6275,0,469.8015,500.5305,486.5347,457.7206,472.3255,452.5675,416.5867,443.1202,407.2663,448.8295,422.8645,416.3507,401.0677,444.4811,407.7705,398.0706,396.9689,415.6625,408.7029,407.0151,404.6498,443.6886,378.6764,373.3829,363.338,395.6351,405.5574,372.5963,352.2932,350.1513,383.7064,383.507,376.1842,344.2451,363.8164,358.6613,358.8565,372.5479,354.492,363.4355,346.3514,349.6642,355.9685,302.9153,328.7478,323.1457,317.1576,324.2275,365.719,306.308,349.4707,283.0714,314.4635,325.1297,334.0398,335.7125,336.3941,307.2144,303.226,334.3391,307.5966,280.0517,282.543,286.8337,320.5718,311.0703,323.6819,295.6303,309.2577,320.0271,296.5747,314.7345,286.8678,293.6804,292.7644,272.4386,313.1625,289.4108,300.831,311.9364,310.7778,315.8172,296.8499,288.6207,296.7316,257.1592,262.7468,265.5018,273.1654,307.0107,274.8055,287.3765,328.0421,287.2405,313.6139,272.3983,289.8027,271.1955,285.6986,314.0724
20260630-11:02:00,20260630_146828_avg,72.1928,0,413.6489,437.1295,386.4701,358.8436,374.4214,372.4397,394.3622,380.2446,367.1703,388.528,328.3529,337.6769,328.8857,337.9883,314.0418,355.1888,334.0815,304.4977,311.9042,338.2909,347.2362,369.9608,387.4689,330.8578,298.0541,270.9618,320.7869,295.128,301.6038,295.241,303.4411,327.6726,306.064,297.4099,276.6577,261.1578,285.407,293.3455,331.5267,294.7275,312.0645,278.8324,262.9765,266.8618,271.27,332.4866,267.8326,303.2931,265.0058,304.3846,292.1421,280.0558,282.2772,268.6899,292.3429,272.5661,255.6283,254.2796,285.5398,315.8313,284.7816,278.4573,286.9271,308.7242,284.7608,270.6588,303.1192,287.9041,311.372,281.4184,250.2239,246.42,311.2169,312.0372,269.9456,264.7117,303.9106,247.3214,251.0742,283.5973,260.2217,267.8367,263.5825,273.6635,296.123,266.8225,278.1548,219.0598,261.9228,244.1658,235.562,242.5666,254.0506,280.9234,232.0726,261.4011,250.1721,253.5744,282.5131,272.5506
20260630-11:03:00,20260630_147923_avg,77.7742,0,408.8323,434.8537,417.6275,369.5655,370.2071,351.4842,363.0434,375.1201,386.9806,357.1345,356.993,333.7107,361.8118,347.3298,354.0257,347.7354,358.1512,332.4555,335.6371,387.6561,336.1115,337.8595,380.1353,394.8717,333.6355,344.4873,353.9713,373.4723,332.3914,342.3837,356.5397,350.5453,337.6465,340.3167,321.0907,336.9965,335.7099,342.2166,329.7421,344.0783,351.2545,337.7896,339.8999,334.714,333.1684,321.7623,336.3602,329.5294,361.1762,352.8079,334.5924,316.9614,311.1538,344.5429,330.2118,332.8178,299.3689,338.2569,330.7081,307.0471,315.9483,326.2858,322.6571,317.0714,319.3752,316.7115,322.2278,341.2609,281.1838,315.1694,320.8606,322.2215,311.9627,291.1249,321.5393,341.8396,293.3133,328.374,310.4183,314.0262,299.0487,309.3329,333.1522,322.2399,338.9074,330.4033,319.1936,338.1639,318.5917,324.0406,307.1372,312.2081,300.634,325.2612,292.9546,321.6258,306.9691,326.7986,320.3053,335.8217
20260630-11:04:00,20260630_149018_avg,71.6315,0,474.0784,466.383,414.0045,400.2482,397.1969,398.806,373.444,301.2804,342.4621,326.8945,323.9437,339.3606,255.8044,278.0884,295.0301,244.0023,300.2616,271.9198,276.3844,242.5373,266.2945,267.3434,246.4825,243.0604,240.6766,214.7355,226.8802,224.6144,233.692,244.6994,201.3578,219.3666,251.3536,205.316,203.3022,223.9864,237.0049,220.0211,247.0427,237.5829,237.4975,231.8559,268.2947,216.7634,180.1774,253.917,211.7957,223.2358,247.5646,187.7909,194.5335,186.8774,202.7506,227.254,228.221,222.3458,187.0064,167.8168,215.2368,203.6524,221.8685,226.0841,213.9135,226.047,214.7466,220.5487,195.1185,205.7531,213.4819,226.3898,201.8866,220.975,205.4108,209.0325,229.0351,172.1117,187.0821,184.0464,167.4062,201.9244,231.7433,211.2181,221.585,240.1993,245.3692,217.0267,246.136,220.3074,201.1325,205.7816,187.2624,198.8356,209.0511,232.0923,250.0911,185.9657,221.4387,191.4049,221.613,208.5587
20260630-11:05:00,20260630_150113_avg,65.694,0,390.6459,382.8331,397.8617,348.6518,312.527,371.3297,333.4362,365.4044,343.977,327.8939,336.2327,372.1259,371.7983,319.1174,317.9387,337.0199,286.4682,312.026,299.874,304.9029,273.4829,251.7153,236.7083,257.0939,270.2835,271.4704,323.4444,300.4056,247.1448,276.9182,256.1702,257.1058,266.7081,275.5832,250.4419,283.4021,227.9401,254.9243,317.4485,258.2217,287.0705,253.3868,264.7128,248.4483,245.0885,229.6018,258.7678,226.7899,263.4883,273.2305,254.9978,238.3374,255.8068,236.3332,266.0424,197.2453,232.9884,191.3349,202.4015,271.4013,258.6862,217.803,197.2942,160.0987,218.1847,289.595,239.5581,213.8713,237.7766,186.8708,216.7624,225.4593,219.952,240.6148,228.9116,236.2085,202.3786,240.8808,258.51,194.5217,196.4429,251.0023,213.607,252.9123,207.8265,254.6728,222.5104,225.9654,258.3838,211.4602,197.5795,209.9737,232.3459,183.0296,237.2422,208.4467,249.8259,162.8046,202.0724,179.7118
20260630-11:06:00,20260630_151208_avg,70.9415,0,444.5397,427.2981,419.6383,404.2833,428.6816,378.8248,366.73,350.7433,338.5267,328.0628,329.1154,339.5903,342.3421,331.9682,311.4655,339.7628,332.6151,311.2749,298.0892,318.236,308.0503,273.1145,297.3115,301.1483,275.9855,294.9805,260.6777,313.2203,309.6205,278.5498,288.9784,233.2822,256.4221,272.0378,255.6935,289.595,313.7585,250.9074,256.822,277.1707,303.5229,247.6794,276.0563,306.4713,238.3267,245.3679,261.9699,259.9543,285.9257,274.702,235.2376,279.9722,258.5786,294.7479,257.5317,257.3063,280.2628,284.5142,278.254,236.4161,279.7236,248.8051,273.4099,240.7434,277.0334,252.2559,242.6429,281.3412,271.7714,254.6959,294.7059,257.3678,266.2526,270.5328,252.8276,273.8296,253.8946,256.0023,290.4392,243.2515,216.2522,294.7627,313.0038,255.1896,225.2312,257.04,257.5722,259.5501,241.6304,274.8857,274.0026,234.758,277.8759,304.5892,268.0962,258.4176,262.5138,277.5911,232.0029,269.2995
20260630-11:07:00,20260630_152303_avg,88.1962,0,418.2763,411.0231,395.0598,380.0789,376.2521,365.7247,360.655,354.8443,342.6577,336.8385,338.4143,329.2574,316.6767,323.4497,316.7627,308.6161,302.0379,305.4282,299.6544,302.9951,292.346,288.7047,283.3714,283.643,279.8932,279.1829,270.0986,267.7306,265.0244,267.0903,267.2737,258.1167,256.1197,256.7179,252.805,255.2114,242.0993,245.477,244.0374,237.0631,240.4206,239.2082,240.4197,243.8197,237.8064,233.8778,236.2403,239.1225,230.9536,230.2413,234.5491,230.9257,233.1878,230.0635,231.8544,224.9872,227.9351,226.5832,222.4012,220.5779,227.9859,223.7706,220.874,223.6623,227.5284,214.9915,217.3368,218.9545,227.0068,222.4465,223.7983,216.6851,216.4213,221.6541,219.9635,221.4053,218.5104,219.8892,219.203,221.15,221.0152,212.1844,209.7429,221.0527,221.5145,213.4982,210.3447,217.119,219.9068,222.827,218.141,214.8571,212.8805,215.9662,214.751,212.1066,222.8668,221.838,219.4484,212.0739
